SHE,TYP,CAL,RAT,PRO,SOD,POT,NAM,VIT,WEI,COM,CUP,FIB,CAR,FAT,SUG
2,C,100,45.328074,4,150,95,Life,25,1,Q,0.67,2,12,2,6
3,C,110,40.400208,3,140,105,Clusters,25,1,G,,2,13,2,7
1,C,100,40.105965,2,220,90,Multi-Grain Cheerios,25,1,G,1,2,15,1,6
3,C,150,37.136863,4,95,170,Muesli Raisins; Dates; & Almonds,25,1,R,1,3,16,3,11
1,C,90,49.120253,2,200,125,Bran Chex,25,1,R,0.67,4,15,1,6
2,H,100,54.850917,4,0,95,Maypo,25,1,A,1,0,16,1,3
1,C,110,41.445019,2,280,25,Corn Chex,25,1,R,1,0,22,0,3
2,C,120,18.042851,1,220,35,Cap 'n' Crunch,25,1,Q,0.75,0,12,2,12
1,C,110,40.560159,2,290,35,Rice Krispies,25,1,K,1,0,22,0,3
3,C,120,33.983679,3,15,135,100% Natural Bran,0,1,Q,1,2,8,5,8
3,C,120,41.015492,3,240,190,Fruitful Bran,25,1.33,K,0.67,5,14,0,12
1,C,90,74.472949,3,0,140,Shredded Wheat 'n' Bran,0,1,N,0.67,4,19,0,0
3,C,110,40.448772,3,140,160,Cracklin' Oat Bran,25,1,K,0.5,4,10,3,7
2,C,110,22.396513,1,180,65,Count Chocula,25,1,G,1,0,12,1,13
1,C,100,51.592193,3,200,110,Wheaties,25,1,G,1,3,17,1,3
1,C,110,28.742414,1,180,35,Honey-comb,25,1,P,1.33,0,14,0,11
2,C,110,39.241114,2,260,40,Kix,25,1,G,1.5,0,21,1,3
2,C,110,28.025765,1,135,25,Fruity Pebbles,25,1,P,0.75,0,13,1,12
1,C,100,35.252444,2,45,40,Golden Crisp,25,1,P,0.88,0,11,0,15
1,C,110,41.998933,1,240,30,Rice Chex,25,1,R,1.13,0,23,0,2
3,C,130,30.450843,3,170,120,Oatmeal Raisin Crisp,25,1.25,G,0.5,1.5,13.5,2,10
3,C,100,46.658844,3,200,110,Total Whole Grain,100,1,G,1,3,16,1,3
3,C,110,36.523683,2,170,60,Just Right Crunchy  Nuggets,100,1,K,1,1,17,1,6
3,C,50,63.005645,2,0,50,Puffed Wheat,0,0.5,Q,1,1,10,0,0
1,C,110,31.072217,3,250,90,Honey Nut Cheerios,25,1,G,0.75,1.5,11.5,1,10
1,C,110,29.509541,2,180,70,Apple Cinnamon Cheerios,25,1,G,0.75,1.5,10.5,2,10
3,C,50,93.704912,4,140,330,All-Bran with Extra Fiber,25,1,K,0.5,14,8,0,0
3,C,120,37.840594,3,200,260,Post Natural Raisin Bran,25,1.33,P,0.67,6,11,1,14
1,C,100,45.863324,2,290,35,Corn Flakes,25,1,K,1,1,21,0,2
1,C,110,53.131324,6,230,55,Special K,25,1,K,1,1,16,0,3
2,C,110,27.753301,1,140,25,Trix,25,1,G,1,0,13,1,12
2,C,120,19.823573,1,210,45,Cinnamon Toast Crunch,25,1,G,0.75,0,13,3,9
3,C,90,53.313813,3,210,190,Bran Flakes,25,1,P,0.67,5,13,0,5
1,C,90,72.801787,3,0,120,Shredded Wheat Spoon Size,0,1,N,0.67,3,20,0,0
2,C,110,33.174094,2,125,30,Apple Jacks,25,1,K,1,1,11,0,14
3,C,100,49.511874,4,135,110,Quaker Oat Squares,25,1,Q,0.5,2,14,1,6
3,C,70,59.425505,4,260,320,All-Bran,25,1,K,0.33,9,7,1,5
3,C,100,36.176196,2,140,120,Crispy Wheat & Raisins,25,1,G,0.75,2,11,1,10
2,C,110,32.207582,2,125,30,Froot Loops,25,1,K,1,1,11,1,13
2,C,100,58.345141,3,0,100,Frosted Mini-Wheats,25,1,K,0.8,3,14,0,7
1,C,110,31.435973,1,200,25,Frosted Flakes,25,1,K,0.75,1,14,0,11
3,C,100,39.7034,3,140,140,Raisin Nut Bran,25,1,G,0.5,2.5,10.5,2,8
3,C,140,40.69232,3,220,130,Nutri-Grain Almond-Raisin,25,1.33,K,0.67,3,21,2,7
3,C,110,38.839746,2,200,35,Total Corn Flakes,100,1,G,1,0,21,1,3
2,C,120,39.259197,3,210,240,Raisin Bran,25,1.33,K,0.75,5,14,1,12
3,C,110,34.384843,2,200,,Almond Delight,25,1,R,0.75,1,14,2,8
2,C,110,23.804043,1,280,45,Golden Grahams,25,1,G,0.75,0,15,1,9
3,C,140,28.592785,3,190,230,Total Raisin Bran,100,1.5,G,1,4,15,1,14
3,C,140,36.471512,3,170,95,Just Right Fruit & Nut,100,1.3,K,0.75,2,20,1,9
3,C,110,39.106174,2,250,60,Triples,25,1,G,0.75,0,21,1,3
3,C,100,44.330856,2,190,80,Double Chex,25,1,R,0.75,1,18,0,5
3,C,90,55.333142,2,0,110,Raisin Squares,25,1,K,0.5,2,15,0,6
3,C,90,59.642837,3,170,90,Nutri-grain Wheat,25,1,K,1,3,18,0,2
2,C,110,35.782791,1,90,20,Corn Pops,25,1,K,1,1,13,0,12
2,C,90,59.363993,2,15,90,Strawberry Fruit Wheats,25,1,N,1,3,15,0,5
3,C,100,,3,140,85,Grape Nuts Flakes,25,1,P,0.88,3,15,1,5
3,C,70,68.402973,4,130,280,100% Bran,25,1,N,0.33,10,5,1,6
1,C,80,68.235885,2,0,95,Shredded Wheat,0,0.83,N,1,3,16,0,0
2,C,110,31.230054,2,70,40,Smacks,25,1,K,0.75,1,9,1,15
3,C,110,53.371007,3,170,90,Grape-Nuts,25,1,P,0.25,3,17,0,3
3,C,160,30.313351,3,150,160,Mueslix Crispy Blend,25,1.5,K,0.67,3,17,2,13
2,C,110,26.734515,2,180,55,Lucky Charms,25,1,G,1,0,12,1,12
1,C,100,49.787445,3,230,115,Wheat Chex,25,1,R,0.67,3,17,1,3
3,C,50,60.756112,1,0,15,Puffed Rice,0,0.5,Q,1,0,13,0,0
1,H,100,50.828392,5,0,110,Quaker Oatmeal,0,1,Q,0.67,2.7,,2,
2,H,100,64.533816,3,80,,Cream of Wheat (Quick),0,1,N,1,1,21,0,0
2,C,120,,1,220,45,Honey Graham Ohs,25,1,Q,1,1,12,2,11
3,C,130,37.038562,3,210,100,Basic 4,25,1.33,G,0.75,2,18,2,8
2,C,120,29.924285,2,190,40,Nut&Honey Crunch,25,1,K,0.67,0,15,1,9
1,C,110,50.764999,6,290,105,Cheerios,25,1,G,1.25,2,17,2,1
3,C,100,41.50354,3,320,45,Product 19,100,1,K,1,1,20,0,3
2,C,110,22.736446,1,180,55,Cocoa Puffs,25,1,G,1,0,12,1,13
3,C,110,46.895644,2,220,30,Crispix,25,1,K,1,1,21,0,3
3,C,120,45.811716,3,75,100,Great Grains Pecan,25,1,P,0.33,3,13,3,4
1,C,110,36.187559,2,200,60,Wheaties Honey Gold,25,1,G,0.75,1,16,1,8
3,C,150,34.139765,4,150,170,Muesli Raisins; Peaches; & Pecans,25,1,R,1,3,16,3,11
3,C,120,40.917047,3,160,200,Fruit & Fibre Dates; Walnuts; and Oats,25,1.25,P,0.67,5,12,2,10
